order_year,order_month,total_revenue,order_count,avg_order_value
1992,1,14632465461.03,96647,151401.134655
1992,2,13702881250.25,90518,151382.943174
1992,3,14471982842.46,95930,150859.823230
1992,4,14154839483.68,93774,150946.312237
1992,5,14488605743.39,96001,150921.404396
1992,6,14141698293.18,93497,151252.963124
1992,7,14623719531.75,96846,150999.726698
1992,8,14504784195.86,96334,150567.652084
1992,9,14155852017.99,93348,151646.012962
1992,10,14561557263.21,96526,150856.321232
1992,11,14133978950.19,93633,150950.828770
1992,12,14605342442.99,96819,150852.027422
1993,1,14677786046.17,96957,151384.490508
1993,2,13287284137.99,87768,151390.986897
1993,3,14641206574.63,96784,151277.138521
1993,4,14125875685.61,93450,151159.718412
1993,5,14633398168.24,96822,151137.119335
1993,6,14082497934.89,93566,150508.709733
1993,7,14728858268.38,96968,151894.009038
1993,8,14593080152.10,96822,150720.705543
1993,9,14137852456.60,93460,151271.693308
1993,10,14567496890.08,96163,151487.546042
1993,11,14174930667.97,93611,151423.771437
1993,12,14579639387.05,96522,151049.909731
1994,1,14654036095.49,96747,151467.602050
1994,2,13199093963.09,87265,151253.010521
1994,3,14584304371.16,96593,150987.176826
1994,4,14191363315.44,93739,151392.305395
1994,5,14580423750.10,96546,151020.485055
1994,6,14215116225.21,93789,151564.855422
1994,7,14532916246.67,96272,150956.833209
1994,8,14643890665.83,96741,151372.124186
1994,9,14156746160.64,93643,151177.836684
1994,10,14548647773.62,96156,151302.547669
1994,11,14164635126.55,93724,151131.355112
1994,12,14608415905.79,96729,151024.159309
1995,1,14690432880.22,97141,151227.935478
1995,2,13152845365.85,87009,151166.492729
1995,3,14574503669.87,96571,150920.086464
1995,4,14144175004.22,93484,151300.489969
1995,5,14474886353.68,96244,150397.805096
1995,6,14205482213.96,93670,151654.555503
1995,7,14581176323.30,96731,150739.435375
1995,8,14528847051.98,96280,150902.025883
1995,9,14090846199.86,93445,150792.939161
1995,10,14549991434.58,96293,151101.237209
1995,11,14069950866.15,93033,151236.129827
1995,12,14569536356.53,96407,151125.295430
1996,1,14639716751.27,96791,151250.805873
1996,2,13699265415.21,90454,151450.078661
1996,3,14564998783.77,96283,151272.797729
1996,4,14082461114.97,93197,151104.232057
1996,5,14593547025.95,96844,150691.287286
1996,6,14158982191.65,93647,151195.256566
1996,7,14677770673.47,97126,151120.922034
1996,8,14660404104.90,96875,151333.203663
1996,9,14135236707.52,93570,151065.904751
1996,10,14634502477.80,96616,151470.796533
1996,11,14110437375.14,93500,150913.768718
1996,12,14648266209.01,96653,151555.215141
1997,1,14582553632.94,96648,150883.139154
1997,2,13242269717.45,87253,151768.646550
1997,3,14597537077.94,96440,151363.926565
1997,4,14159948573.95,93608,151268.572921
1997,5,14627511496.59,96654,151338.915064
1997,6,14168786682.40,93872,150937.304866
1997,7,14577809824.13,96495,151073.214406
1997,8,14601362401.26,96724,150959.042236
1997,9,14095832916.14,93330,151032.175251
1997,10,14591658350.95,96520,151177.562691
1997,11,14008155122.62,93049,150546.003962
1997,12,14607955785.61,96732,151014.718869
1998,1,14644936132.56,97175,150706.829252
1998,2,13231342086.42,87411,151369.302335
1998,3,14618401602.72,97031,150657.023041
1998,4,14147094619.98,93779,150855.677923
1998,5,14538728703.37,96515,150636.985996
1998,6,14110185157.98,93249,151317.281236
1998,7,14615808096.95,96736,151089.647049
1998,8,945871268.15,6205,152436.948936
